,identifier,score,activity,scheme
0,ZINC39723500|decoys_final|mol2|3213|dock4,394.6669246567103,0,hs1
1,ZINC49555265|decoys_final|mol2|1543|dock2,351.32964925323256,0,hs1
2,ZINC06510544|decoys_final|mol2|2021|dock1,350.771134897891,0,hs1
3,ZINC40247712|decoys_final|mol2|2636|dock4,345.50756746980136,0,hs1
4,ZINC01636690|decoys_final|mol2|1766|dock5,344.7830757192843,0,hs1
5,CHEMBL395332|actives_final|mol2|90|dock2,337.32730280683353,1,hs1
6,ZINC04024313|decoys_final|mol2|2925|dock2,336.3699890344416,0,hs1
7,ZINC04427969|decoys_final|mol2|3648|dock1,336.1899383791764,0,hs1
8,ZINC11870480|decoys_final|mol2|2885|dock5,335.0593376270572,0,hs1
9,ZINC02535920|decoys_final|mol2|1471|dock5,333.8317177947539,0,hs1
10,ZINC41992132|decoys_final|mol2|119|dock2,332.91916045953604,0,hs1
11,ZINC19691426|decoys_final|mol2|2635|dock2,327.58097222395975,0,hs1
12,ZINC41728231|decoys_final|mol2|1479|dock2,325.0914808404538,0,hs1
13,ZINC43553416|decoys_final|mol2|394|dock1,323.32863286270623,0,hs1
14,ZINC37581205|decoys_final|mol2|2935|dock2,322.683306769557,0,hs1
15,ZINC23006986|decoys_final|mol2|5002|dock2,322.20466402826014,0,hs1
16,ZINC01415865|decoys_final|mol2|4489|dock1,321.3629517285885,0,hs1
17,ZINC38141307|decoys_final|mol2|5767|dock5,321.1906631301087,0,hs1
18,ZINC41138215|decoys_final|mol2|3652|dock4,320.0080690880103,0,hs1
19,ZINC50833365|decoys_final|mol2|3511|dock2,318.8104356744983,0,hs1
20,ZINC61814484|decoys_final|mol2|1152|dock4,318.18913490829357,0,hs1
21,ZINC40349121|decoys_final|mol2|1592|dock1,316.47325479121093,0,hs1
22,CHEMBL213686|actives_final|mol2|145|dock3,315.8292976781817,1,hs1
23,ZINC63362208|decoys_final|mol2|300|dock5,314.79230737037665,0,hs1
24,ZINC01950211|decoys_final|mol2|4760|dock4,314.1687983550712,0,hs1
25,ZINC48833685|decoys_final|mol2|3506|dock5,313.68033638343877,0,hs1
26,ZINC20867426|decoys_final|mol2|6074|dock2,311.96992823558537,0,hs1
27,CHEMBL210741|actives_final|mol2|106|dock3,310.5267244059263,1,hs1
28,CHEMBL241754|actives_final|mol2|135|dock4,310.15826969984465,1,hs1
29,ZINC03405752|decoys_final|mol2|3687|dock3,308.13530036857844,0,hs1
30,ZINC22264177|decoys_final|mol2|1622|dock5,306.9410286098057,0,hs1
31,ZINC10893741|decoys_final|mol2|4604|dock5,306.4764954963322,0,hs1
32,ZINC20027888|decoys_final|mol2|1618|dock4,306.46586917888675,0,hs1
33,ZINC20324816|decoys_final|mol2|1620|dock3,305.8636334319311,0,hs1
34,ZINC32090958|decoys_final|mol2|2664|dock5,305.0560247341688,0,hs1
35,ZINC46551277|decoys_final|mol2|3158|dock1,304.9337763640091,0,hs1
36,ZINC61881450|decoys_final|mol2|2409|dock4,304.8045431179323,0,hs1
37,CHEMBL239414|actives_final|mol2|45|dock4,303.84024338835957,1,hs1
38,CHEMBL247044|actives_final|mol2|177|dock2,303.0066681972665,1,hs1
39,ZINC03355803|decoys_final|mol2|2520|dock2,302.4265858299208,0,hs1
40,CHEMBL210264|actives_final|mol2|70|dock4,302.00408411211265,1,hs1
41,ZINC25561537|decoys_final|mol2|3601|dock1,301.1544547339938,0,hs1
42,ZINC38926116|decoys_final|mol2|5768|dock5,301.14680348539866,0,hs1
43,CHEMBL1164552|actives_final|mol2|24|dock4,300.91560987620113,1,hs1
44,ZINC67373060|decoys_final|mol2|1308|dock4,300.90962339952785,0,hs1
45,ZINC12330243|decoys_final|mol2|2784|dock3,300.13574469158004,0,hs1
46,ZINC39834824|decoys_final|mol2|692|dock1,299.51758929164674,0,hs1
47,ZINC49978700|decoys_final|mol2|3466|dock4,299.2465394628602,0,hs1
48,ZINC36307531|decoys_final|mol2|1580|dock5,299.1984408558509,0,hs1
49,ZINC64249564|decoys_final|mol2|4588|dock5,299.04226236605115,0,hs1
50,ZINC14242276|decoys_final|mol2|6372|dock1,298.6826722776045,0,hs1
51,ZINC43263771|decoys_final|mol2|6582|dock1,298.0129272541476,0,hs1
52,ZINC24875786|decoys_final|mol2|5572|dock5,298.00775854299457,0,hs1
53,CHEMBL240498|actives_final|mol2|118|dock1,297.79005221468765,1,hs1
54,CHEMBL400042|actives_final|mol2|102|dock1,297.48292379029726,1,hs1
55,ZINC44657632|decoys_final|mol2|5132|dock5,297.1954417350312,0,hs1
56,ZINC13785979|decoys_final|mol2|4157|dock3,296.41137471125745,0,hs1
57,ZINC42438483|decoys_final|mol2|121|dock4,296.12921185971663,0,hs1
58,ZINC39921228|decoys_final|mol2|2797|dock5,295.2514922532781,0,hs1
59,ZINC48797975|decoys_final|mol2|6592|dock3,294.9308610705366,0,hs1
60,ZINC02382662|decoys_final|mol2|2722|dock2,294.70749600775946,0,hs1
61,ZINC67373062|decoys_final|mol2|1309|dock5,294.4890929792115,0,hs1
62,ZINC07468798|decoys_final|mol2|1757|dock5,294.48769746335836,0,hs1
63,ZINC37199639|decoys_final|mol2|3446|dock5,294.4814662540392,0,hs1
64,ZINC49120963|decoys_final|mol2|1645|dock1,294.42177726993816,0,hs1
65,ZINC61687294|decoys_final|mol2|2870|dock3,294.20146885597813,0,hs1
66,ZINC45025315|decoys_final|mol2|1498|dock3,293.59425421986856,0,hs1
67,ZINC57793061|decoys_final|mol2|4636|dock2,293.5444590200368,0,hs1
68,ZINC06031873|decoys_final|mol2|1167|dock3,293.3796347302694,0,hs1
69,ZINC39698559|decoys_final|mol2|1382|dock4,293.36850751689934,0,hs1
70,CHEMBL240704|actives_final|mol2|111|dock3,293.03074498675323,1,hs1
71,ZINC13694566|decoys_final|mol2|871|dock2,292.9957930747615,0,hs1
72,ZINC58714719|decoys_final|mol2|1714|dock5,292.87967395721324,0,hs1
73,ZINC12307059|decoys_final|mol2|567|dock2,292.7107585236048,0,hs1
74,ZINC17440311|decoys_final|mol2|4825|dock2,292.65388474525514,0,hs1
75,ZINC39467605|decoys_final|mol2|3253|dock4,292.4661277704295,0,hs1
76,ZINC39110447|decoys_final|mol2|1184|dock1,291.88229607339264,0,hs1
77,ZINC20445819|decoys_final|mol2|2413|dock3,291.68278346214333,0,hs1
78,ZINC37376106|decoys_final|mol2|1177|dock4,290.8205831305005,0,hs1
